Dependency,AvailNorm,throughNorm,successNorm,reliableNORM,compliantNorm,bestpracNorm,latencyNorm,documentNorm
0.053658,0.88172,0.16279,0.89130,0.71429,0.67164,0.66667,0.04529,0.32292
0.089851,0.83871,0.36977,0.94565,0.71429,1.00000,0.75556,0.00018,0.01042
0.663157,0.88172,0.03023,0.95652,0.71429,0.67164,0.66667,0.00057,0.98958
0.018004,0.97849,0.27674,1.00000,0.60714,0.67164,0.71111,0.00544,0.91667
0.014134,0.86022,0.04186,0.94565,0.71429,0.83582,0.26667,0.01403,0.95833
0.014249,0.78495,0.03721,0.79348,0.60714,0.67164,0.71111,0.00434,0.62500
0.044017,0.97849,0.02791,0.98913,0.60714,1.00000,0.71111,0.00979,0.03125
0.020133,0.74194,0.06279,0.73913,0.48214,0.83582,0.42222,0.00273,0.07292
0.013249,0.90323,0.35349,0.96739,0.60714,0.67164,0.71111,0.00016,0.93750
0.011382,0.95699,0.31163,0.98913,0.60714,0.83582,0.17778,0.01000,0.95833
0.019383,0.84946,0.17674,0.94565,0.71429,0.67164,0.75556,0.00252,0.08333
0.037249,0.89247,0.25116,0.96739,0.35714,0.83582,0.35556,0.00894,0.05208
0.015547,0.84946,0.37209,0.84783,0.71429,0.83582,0.75556,0.01612,0.07292
0.047011,0.83871,0.10233,0.84783,0.35714,0.83582,0.35556,0.01805,0.05208
0.019600,0.82796,0.28140,0.83696,0.48214,0.83582,0.42222,0.00192,0.03125
0.006158,0.84946,0.13721,0.84783,0.71429,0.67164,0.66667,0.00030,0.97917
0.019095,0.78495,0.05116,0.78261,0.35714,0.50746,0.57778,0.00151,0.09375
0.035577,0.87097,0.03488,0.95652,0.71429,1.00000,0.75556,0.00182,0.36458
0.267129,0.81720,0.23953,0.82609,0.89286,0.83582,0.91111,0.00066,0.02083
0.014336,0.84946,0.01395,0.94565,0.71429,0.67164,0.66667,0.00002,0.92708
0.002625,0.69892,0.30698,0.69565,0.71429,0.67164,0.75556,0.00091,0.06250
0.208473,0.68817,0.06744,0.69565,0.89286,0.83582,0.91111,0.17965,0.36458
0.019182,0.81720,0.33023,0.82609,0.71429,0.67164,0.75556,0.00380,0.64583
0.046054,0.93548,0.23488,0.93478,0.71429,0.83582,0.26667,0.01158,0.10417
0.017601,0.93548,0.04651,0.97826,0.71429,1.00000,0.66667,0.00739,0.37500
0.074951,0.52688,0.11395,0.54348,0.71429,0.67164,0.66667,0.02928,0.91667
0.044824,0.96774,0.02558,0.98913,0.44643,1.00000,0.55556,0.00168,0.32292
0.074909,0.81720,0.35116,0.82609,0.89286,0.83582,0.91111,0.00066,0.05208
0.027460,0.41935,0.08605,0.42391,0.80357,0.83582,0.86667,0.00111,0.95833
0.057238,0.84946,0.02558,0.84783,0.35714,0.83582,0.35556,0.03018,0.09375
0.018437,0.90323,0.28605,0.96739,0.60714,0.67164,0.71111,0.00496,0.93750
0.022749,0.88172,0.02326,0.95652,0.71429,0.67164,0.66667,0.00308,0.07292
0.128254,0.90323,0.18140,0.96739,0.71429,1.00000,0.75556,0.00216,0.36458
0.004559,0.75269,0.20233,0.76087,0.60714,1.00000,0.60000,0.00089,0.02083
0.093283,0.81720,0.45581,0.82609,0.89286,0.83582,0.91111,0.00743,0.04167
0.261879,1.00000,0.19070,1.00000,0.71429,1.00000,0.66667,0.02144,0.32292
0.038918,0.84946,0.23256,0.94565,0.71429,0.83582,0.75556,0.02113,0.92708
0.046405,0.31183,0.01860,0.31522,0.48214,0.83582,0.42222,0.00378,0.06250
0.002510,0.37634,0.24419,0.38043,0.71429,0.67164,0.26667,0.00139,0.91667
0.005645,0.11828,0.09767,0.10870,0.48214,0.67164,0.64444,0.00118,0.00000
0.014083,0.89247,0.37442,0.95652,0.71429,0.67164,0.66667,0.00577,0.95833
0.109739,0.69892,0.10000,0.69565,0.60714,0.83582,0.48889,0.00453,0.40625
0.033921,0.70968,0.03023,0.71739,0.44643,0.67164,0.66667,0.00284,0.06250
0.051992,0.86022,0.33488,0.94565,0.71429,0.83582,0.26667,0.01588,0.39583
0.015396,0.87097,0.03721,0.95652,0.35714,0.67164,0.35556,0.01039,0.41667
0.006443,0.12903,0.10000,0.13043,0.48214,0.67164,0.64444,0.00137,0.01042
0.029816,0.70968,0.06047,0.71739,0.71429,0.83582,0.66667,0.00980,0.95833
0.019030,0.67742,0.10930,0.67391,0.71429,0.83582,0.75556,0.00082,0.09375
0.021302,0.92473,0.10000,0.97826,0.71429,0.67164,0.75556,0.00640,0.97917
0.021154,0.52688,0.17209,0.52174,0.60714,0.67164,0.60000,0.02127,0.88542
0.046862,0.83871,0.08837,0.83696,0.35714,0.83582,0.35556,0.02045,0.01042
0.038363,0.87097,0.49070,0.95652,0.71429,1.00000,0.75556,0.00550,0.34375
0.095756,0.75269,0.10698,0.76087,0.71429,0.83582,0.75556,0.06497,0.93750
0.027460,0.64516,0.00930,0.65217,0.71429,1.00000,0.66667,0.00034,0.94792
0.122762,0.84946,0.18372,0.84783,0.71429,0.83582,0.66667,0.02083,0.65625
0.053127,0.89247,0.18140,0.96739,0.60714,0.67164,0.71111,0.00353,0.64583
0.201507,0.68817,0.19302,0.69565,0.71429,0.67164,0.84444,0.00139,0.10417
0.096554,0.84946,0.21163,0.94565,0.71429,1.00000,0.75556,0.00207,0.37500
0.079452,0.35484,0.07442,0.34783,0.71429,0.50746,0.75556,0.00314,0.62500
0.033988,0.89247,0.07907,0.96739,0.48214,1.00000,0.53333,0.01161,0.28125
0.045531,0.91398,0.15814,0.96739,0.48214,1.00000,0.53333,0.02011,0.04167
0.083591,0.17204,0.03953,0.17391,0.16071,0.67164,0.53333,0.08064,0.06250
0.034325,0.84946,0.31163,0.84783,0.71429,0.83582,0.75556,0.01890,0.04167
0.015749,0.69892,0.29767,0.69565,0.89286,0.83582,0.91111,0.00103,0.06250
0.029681,1.00000,0.27907,1.00000,0.83929,0.67164,0.82222,0.00018,0.08333
0.016623,0.84946,0.02558,0.94565,0.71429,0.67164,0.75556,0.00034,0.05208
0.026182,0.73118,0.02558,0.72826,0.60714,0.67164,0.60000,0.00183,0.38542
0.041291,0.76344,0.17674,0.77174,0.60714,0.83582,0.48889,0.01721,0.09375
0.053466,0.97849,0.02558,1.00000,0.71429,1.00000,0.75556,0.00192,0.31250
0.053224,1.00000,0.03023,1.00000,0.60714,1.00000,0.71111,0.01023,0.00000
0.038484,0.84946,0.33488,0.94565,0.71429,1.00000,0.75556,0.00250,0.39583
0.117244,0.87097,0.16279,0.95652,0.71429,1.00000,0.75556,0.00324,0.10417
0.023085,0.96774,0.15814,0.98913,0.71429,0.67164,0.75556,0.00203,0.05208
0.015749,0.81720,0.51628,0.82609,0.89286,0.83582,0.91111,0.00091,0.04167
0.001111,0.69892,0.30233,0.69565,0.71429,0.67164,0.75556,0.00079,0.07292
0.028671,0.83871,0.02326,0.94565,0.48214,1.00000,0.53333,0.01129,0.78125
0.028730,0.86022,0.05814,0.94565,0.48214,0.83582,0.42222,0.00622,0.40625
0.721469,0.95699,0.03023,0.98913,0.60714,1.00000,0.60000,0.00149,1.00000
0.017364,0.95699,0.33721,0.98913,0.89286,0.83582,0.91111,0.01649,0.05208
0.032609,0.69892,0.34884,0.69565,0.89286,0.83582,0.91111,0.00139,0.03125
0.046117,0.98925,0.03256,1.00000,0.60714,1.00000,0.71111,0.00844,0.10417
