Training,TRA,TRT,TRS,TRR,TRC,TRB,TRL,TRD
0.127557,0.77419,0.05814,0.77174,0.71429,0.50746,0.63415,0.01697,0.04167
0.021857,0.52688,0.27209,0.52174,0.80357,0.67164,0.85366,0.00215,0.06250
0.034628,1.00000,0.26047,1.00000,0.83929,0.83582,0.26829,0.02402,0.35417
0.054193,0.88172,0.03023,0.95652,0.30357,1.00000,0.43902,0.01900,0.03125
0.012519,0.87097,0.01395,0.95652,0.71429,1.00000,0.51220,0.02521,0.94792
0.101505,0.17204,0.09070,0.17391,0.48214,0.67164,0.70732,0.07011,0.09375
0.180105,0.84946,0.12093,0.84783,0.71429,0.67164,0.63415,0.03238,0.08333
0.073524,0.38710,0.09302,0.38043,0.89286,0.83582,0.90244,0.00445,0.35417
0.037757,0.73118,0.34186,0.73913,0.80357,0.83582,0.85366,0.00147,0.07292
0.078255,0.46237,0.03721,0.46739,0.71429,0.83582,0.63415,0.15692,0.90625
0.025744,0.69892,0.28837,0.69565,0.71429,1.00000,0.73171,0.00251,0.04167
0.051487,1.00000,0.21395,1.00000,0.71429,1.00000,0.63415,0.05293,0.06250
0.139723,0.93548,0.35116,0.97826,0.71429,1.00000,0.63415,0.22930,0.08333
0.017350,0.92473,0.36977,0.97826,0.48214,1.00000,0.48780,0.00585,0.68750
0.043613,1.00000,0.24419,1.00000,0.60714,1.00000,0.43902,0.00848,0.64583
0.048539,0.92473,0.02093,0.97826,0.71429,1.00000,0.73171,0.00523,0.39583
0.008884,0.67742,0.19535,0.67391,0.71429,0.83582,0.73171,0.01840,0.10417
0.069211,0.83871,0.05116,0.83696,0.35714,0.83582,0.29268,0.05056,0.09375
0.026905,0.52688,0.09535,0.53261,0.48214,1.00000,0.60976,0.00394,0.36458
0.008480,0.81720,0.74186,0.82609,0.80357,0.83582,0.85366,0.00131,0.68750
0.015614,0.83871,0.37442,0.94565,0.71429,1.00000,0.73171,0.00609,0.39583
0.073855,0.86022,0.15814,0.94565,0.48214,0.67164,0.48780,0.06327,0.91667
0.018475,0.69892,0.50233,0.69565,0.80357,0.83582,0.85366,0.00394,0.05208
0.009288,0.86022,0.35116,0.95652,0.71429,0.67164,0.19512,0.00036,0.95833
0.000808,0.81720,0.55581,0.82609,0.48214,0.83582,0.48780,0.00131,0.66667
0.139042,0.87097,0.07907,0.95652,0.60714,0.67164,0.56098,0.00058,0.98958
0.020070,0.89247,0.13488,0.90217,0.71429,0.67164,0.73171,0.00504,0.09375
0.006374,0.38710,0.10000,0.38043,0.80357,0.83582,0.85366,0.00125,0.07292
0.036445,0.76344,0.21860,0.76087,0.71429,0.83582,0.63415,0.02629,0.08333
0.114383,0.83871,0.24651,0.84783,0.71429,0.83582,0.73171,0.22619,0.94792
0.020343,0.77419,0.05349,0.77174,0.60714,0.67164,0.43902,0.04768,0.39583
0.022614,0.95699,0.56047,0.98913,1.00000,0.67164,0.95122,0.00060,0.06250
0.122055,0.95699,0.10000,0.98913,0.71429,0.67164,0.73171,0.01589,0.89583
0.006259,0.96774,0.11628,0.98913,0.71429,0.83582,0.73171,0.00036,0.97917
0.059766,0.81720,0.50698,0.82609,0.89286,0.83582,0.90244,0.00323,0.11458
0.033921,0.62366,0.22558,0.63043,0.71429,0.50746,0.73171,0.01299,0.42708
0.017455,0.84946,0.16512,0.85870,0.60714,1.00000,0.56098,0.00265,0.06250
0.012397,0.92473,0.43721,0.97826,0.71429,0.67164,0.19512,0.01126,0.39583
0.050478,0.88172,0.27674,0.95652,0.60714,1.00000,0.68293,0.00036,0.35417
0.039978,0.81720,0.54419,0.82609,0.60714,0.67164,0.43902,0.00036,0.06250
0.019585,0.81720,0.52093,0.82609,0.89286,0.83582,0.90244,0.00418,0.03125
0.063299,0.84946,0.27674,0.84783,0.71429,0.83582,0.73171,0.02641,0.05208
0.035738,0.83871,0.03023,0.94565,0.71429,1.00000,0.73171,0.00504,0.38542
0.030791,0.69892,0.34419,0.69565,0.89286,0.83582,0.90244,0.00347,0.57292
0.085610,0.97849,0.15349,1.00000,0.48214,1.00000,0.48780,0.00684,0.88542
0.035133,0.86022,0.56977,0.95652,0.71429,1.00000,0.73171,0.00036,0.04167
0.017364,0.76344,0.23953,0.76087,0.71429,0.83582,0.73171,0.00155,0.06250
0.038470,0.89247,0.16279,0.89130,0.60714,1.00000,0.56098,0.01908,0.01042
0.018138,1.00000,0.36279,1.00000,0.60714,0.67164,0.56098,0.00036,0.95833
0.045531,0.84946,0.09535,0.94565,0.71429,1.00000,0.63415,0.00813,0.66667
0.006461,0.52688,0.18372,0.52174,0.89286,0.83582,0.90244,0.00382,0.01042
0.031296,0.81720,0.55581,0.82609,0.89286,0.83582,0.90244,0.00370,0.68750
0.036243,0.88172,0.11860,0.89130,0.48214,0.83582,0.36585,0.03668,0.02083
0.042563,0.98925,0.14884,1.00000,0.71429,0.83582,0.19512,0.00045,0.04167
0.050613,0.60215,0.15814,0.59783,0.71429,0.83582,0.51220,0.00530,0.37500
0.023644,0.49462,0.19767,0.50000,0.60714,0.83582,0.56098,0.03459,0.03125
0.096413,0.84946,0.03023,0.94565,0.71429,0.67164,0.19512,0.00705,0.36458
0.037354,0.70968,0.15581,0.71739,0.71429,0.83582,0.63415,0.04035,0.08333
0.025037,0.97849,0.40698,1.00000,0.71429,0.67164,0.19512,0.02387,0.93750
0.016153,0.81720,0.53953,0.82609,0.60714,0.83582,0.68293,0.00179,0.04167
0.018021,1.00000,0.08140,1.00000,0.48214,1.00000,0.48780,0.01876,0.32292
0.012922,0.84946,0.52093,0.84783,0.71429,0.83582,0.63415,0.00108,0.05208
0.051285,0.87097,0.04186,0.95652,0.71429,0.67164,0.51220,0.06536,0.07292
0.035133,0.16129,0.21163,0.16304,0.71429,0.83582,0.63415,0.00421,0.09375
0.027373,0.89247,0.22326,0.96739,0.60714,1.00000,0.29268,0.00477,0.93750
0.020407,0.24731,0.03721,0.23913,0.69643,0.83582,0.78049,0.00084,0.10417
0.033984,0.52688,0.16279,0.53261,0.60714,0.67164,0.56098,0.04293,0.95833
0.026168,0.47312,0.13256,0.46739,0.71429,0.67164,0.73171,0.00629,0.66667
0.087514,0.38710,0.10233,0.38043,0.80357,0.67164,0.85366,0.00384,0.01042
0.050855,0.82796,0.04651,0.82609,0.35714,0.83582,0.29268,0.04514,0.05208
0.008884,1.00000,0.04419,1.00000,0.83929,0.67164,0.26829,0.00084,0.10417
0.074202,0.98925,0.07674,1.00000,0.71429,0.83582,0.19512,0.01756,0.01042
0.037959,0.83871,0.53023,0.94565,0.71429,1.00000,0.63415,0.05198,0.03125
0.045147,1.00000,0.31163,1.00000,0.60714,1.00000,0.68293,0.02015,0.01042
0.020393,0.83871,0.76512,0.94565,0.71429,1.00000,0.73171,0.00609,0.11458
0.011368,0.56989,0.30930,0.57609,0.71429,0.50746,0.73171,0.01489,0.90625
0.038767,0.97849,0.32093,0.98913,0.71429,1.00000,0.73171,0.00351,0.40625
0.023321,0.84946,0.10233,0.85870,0.71429,0.67164,0.73171,0.00084,0.10417
0.044067,0.64516,0.03023,0.64130,0.71429,0.83582,0.63415,0.01637,0.95833
0.046843,0.95699,0.49767,0.98913,0.44643,0.83582,0.51220,0.00466,0.09375
0.064678,0.96774,0.01860,0.98913,0.71429,1.00000,0.63415,0.00067,0.37500
0.038060,0.84946,0.23256,0.84783,0.71429,0.67164,0.73171,0.00084,0.40625
0.013887,0.56989,0.25116,0.57609,0.71429,0.50746,0.63415,0.02816,0.37500
0.020191,0.81720,0.41395,0.82609,0.71429,0.83582,0.51220,0.00370,0.08333
0.042603,0.76344,0.06977,0.77174,0.71429,0.67164,0.73171,0.01446,0.98958
0.084589,0.61290,0.11163,0.60870,0.35714,0.83582,0.29268,0.00826,0.05208
0.075539,0.34409,0.14186,0.33696,0.71429,1.00000,0.73171,0.01177,0.38542
0.047853,1.00000,0.32326,1.00000,0.71429,1.00000,0.73171,0.00304,0.32292
0.033275,0.93548,0.03488,0.97826,0.71429,1.00000,0.73171,0.00370,0.40625
0.163780,0.15054,0.07907,0.14130,0.80357,0.67164,0.85366,0.21551,0.09375
0.227554,0.87097,0.30930,0.95652,0.89286,0.67164,0.90244,0.00514,0.07292
0.078877,0.84946,0.03023,0.84783,0.35714,0.83582,0.29268,0.05746,0.02083
0.667519,0.81720,0.12558,0.82609,0.89286,0.83582,0.90244,0.00084,0.02083
0.214430,0.94624,0.24419,0.98913,0.71429,0.67164,0.73171,0.01326,0.92708
0.057107,0.82796,0.02326,0.82609,0.35714,0.83582,0.29268,0.05196,0.05208
0.091304,0.64516,0.11628,0.65217,0.71429,0.67164,0.63415,0.05590,0.92708
0.008505,0.67742,0.12093,0.67391,0.71429,0.83582,0.73171,0.00125,0.06250
0.043896,0.96774,0.03488,0.98913,0.71429,1.00000,0.73171,0.00351,0.39583
0.075111,0.86022,0.41860,0.95652,0.71429,0.67164,0.73171,0.00036,0.09375
0.033396,0.88172,0.02093,0.95652,0.71429,1.00000,0.73171,0.00428,0.33333
0.050559,0.90323,0.02791,0.96739,0.30357,1.00000,0.43902,0.01737,0.02083
0.010067,1.00000,0.45581,1.00000,0.71429,0.67164,0.63415,0.00036,0.90625
0.051336,0.91398,0.06744,0.96739,0.48214,0.50746,0.48780,0.00765,0.04167
0.020191,0.81720,0.50000,0.82609,0.71429,0.83582,0.73171,0.00323,0.63542
0.273489,0.88172,0.07674,0.95652,0.71429,0.67164,0.73171,0.02163,0.91667
0.054809,0.86022,0.21395,0.95652,0.60714,0.67164,0.43902,0.00031,0.96875
0.630086,0.17204,0.02791,0.16304,0.80357,0.83582,0.85366,0.02861,0.04167
0.055721,0.92473,0.13721,0.97826,0.60714,0.67164,0.09756,0.01216,0.35417
0.047823,0.86022,0.03953,0.94565,0.48214,0.67164,0.43902,0.00033,0.67708
0.055929,0.60215,0.12326,0.59783,0.71429,0.83582,0.51220,0.00546,0.34375
0.021201,0.96774,0.48140,0.98913,0.71429,1.00000,0.73171,0.00084,0.41667
0.017532,0.98925,0.39070,1.00000,0.71429,0.67164,0.19512,0.00896,0.93750
0.031094,1.00000,0.03023,1.00000,0.71429,1.00000,0.73171,0.00390,0.33333
0.010499,0.81720,0.93721,0.82609,0.80357,0.83582,0.85366,0.00131,0.02083
0.014740,0.81720,0.55581,0.82609,0.71429,0.83582,0.73171,0.00131,0.04167
0.028671,0.77419,0.06279,0.77174,0.71429,0.83582,0.63415,0.01410,0.06250
0.034931,0.96774,0.58372,0.96739,0.71429,1.00000,0.73171,0.00753,0.00000
0.080684,0.89247,0.02791,0.90217,0.71429,1.00000,0.73171,0.04299,0.37500
0.139965,0.84946,0.07674,0.94565,0.71429,0.83582,0.73171,0.02273,0.37500
0.026047,0.84946,0.59535,0.94565,0.71429,0.83582,0.19512,0.04768,0.91667
0.336384,0.81720,0.20698,0.82609,0.89286,0.83582,0.90244,0.00275,0.06250
0.025037,0.69892,0.32326,0.69565,0.89286,0.83582,0.90244,0.00227,0.10417
0.027258,0.88172,0.68372,0.95652,1.00000,0.67164,0.95122,0.00084,0.07292
0.067337,0.84946,0.25116,0.84783,0.71429,0.67164,0.73171,0.02521,0.10417
0.016926,0.61290,0.12326,0.61957,0.71429,0.83582,0.51220,0.03294,0.01042
0.020343,0.76344,0.30930,0.76087,0.71429,0.83582,0.73171,0.00072,0.91667
0.012115,0.89247,0.16744,0.90217,0.71429,0.67164,0.73171,0.00093,0.57292
0.030691,0.81720,0.63953,0.82609,0.80357,0.83582,0.85366,0.00036,0.59375
0.075246,0.98925,0.25116,1.00000,0.71429,0.83582,0.19512,0.06027,0.36458
0.036425,0.86022,0.34884,0.95652,0.71429,1.00000,0.73171,0.00332,0.41667
0.004947,0.69892,0.37209,0.69565,0.71429,0.50746,0.73171,0.00275,0.88542
0.009136,0.98925,0.52558,1.00000,0.71429,0.67164,0.63415,0.00311,0.97917
0.161428,0.84946,0.12326,0.84783,0.71429,0.50746,0.73171,0.00801,1.00000
0.105902,0.90323,0.14651,0.90217,0.71429,0.67164,0.19512,0.15235,0.92708
0.032387,0.98925,0.02326,1.00000,0.71429,1.00000,0.73171,0.00456,0.33333
0.038161,0.76344,0.18140,0.76087,0.71429,0.83582,0.73171,0.03107,0.92708
0.046712,0.83871,0.10698,0.84783,0.35714,0.83582,0.29268,0.03870,0.03125
0.019052,0.89247,0.05116,0.96739,0.48214,0.50746,0.60976,0.00179,0.09375
0.018576,0.88172,0.24651,0.88043,0.71429,0.67164,0.73171,0.00358,0.02083
0.008884,0.92473,0.82558,0.97826,0.44643,0.83582,0.51220,0.00036,0.05208
0.023624,0.94624,0.34419,0.97826,0.71429,1.00000,0.63415,0.00179,0.01042
0.021538,0.92473,0.25814,0.92391,0.83929,0.67164,0.58537,0.00801,0.08333
0.047368,0.89247,0.04651,0.95652,0.71429,1.00000,0.73171,0.01862,0.08333
0.022277,0.90323,0.38372,0.96739,0.71429,1.00000,0.73171,0.00868,0.41667
0.059968,0.88172,0.33023,0.95652,0.71429,0.67164,0.73171,0.01995,0.07292
0.026047,0.81720,0.56977,0.82609,0.89286,0.83582,0.90244,0.00657,0.04167
0.024431,0.69892,0.23953,0.69565,0.60714,0.67164,0.68293,0.00490,0.94792
0.028772,0.93548,0.24186,0.97826,0.71429,0.83582,0.19512,0.00048,0.08333
0.015951,0.86022,0.43023,0.95652,0.48214,0.83582,0.36585,0.00349,0.11458
0.129223,0.81720,0.27907,0.82609,0.71429,1.00000,0.73171,0.24029,0.08333
0.027460,0.90323,0.55814,0.96739,0.71429,0.83582,0.19512,0.04863,0.98958
0.017500,0.86022,0.20465,0.94565,0.71429,0.67164,0.73171,0.00402,0.01042
0.028469,0.52688,0.11860,0.53261,0.80357,0.83582,0.85366,0.00789,0.09375
0.005417,0.12903,0.11628,0.13043,0.48214,0.67164,0.60976,0.00175,0.00000
0.169151,0.52688,0.07674,0.53261,0.71429,0.83582,0.51220,0.04863,0.34375
0.089649,0.81720,0.42791,0.82609,0.80357,0.83582,0.85366,0.00179,0.05208
0.026854,0.86022,0.16512,0.94565,0.71429,0.67164,0.63415,0.01403,0.02083
0.031700,0.52688,0.24186,0.52174,0.80357,0.83582,0.85366,0.03429,0.04167
0.270359,0.98925,0.18837,0.94565,0.89286,0.83582,0.90244,0.40901,0.64583
0.053200,0.83871,0.06512,0.84783,0.35714,0.83582,0.29268,0.04317,0.08333
0.023523,0.92473,0.29302,0.97826,0.71429,1.00000,0.63415,0.00179,0.11458
0.044017,0.86022,0.02558,0.94565,0.60714,1.00000,0.68293,0.01976,0.11458
0.018828,0.77419,0.05349,0.77174,0.71429,0.67164,0.73171,0.04469,0.96875
0.004680,0.92473,0.30233,0.97826,0.60714,1.00000,0.56098,0.00415,0.08333
0.021235,0.41935,0.14186,0.42391,0.71429,0.83582,0.73171,0.00482,0.04167
0.020355,0.60215,0.05581,0.60870,0.71429,0.83582,0.73171,0.00520,0.94792
0.034527,0.91398,0.02326,0.96739,0.71429,1.00000,0.73171,0.00428,0.39583
0.014897,0.83871,0.30465,0.94565,0.71429,0.67164,0.63415,0.00073,0.98958
0.210256,0.82796,0.13256,0.82609,0.69643,0.67164,0.78049,0.04401,0.64583
0.040382,0.96774,0.47907,0.98913,0.71429,1.00000,0.63415,0.01661,0.08333
0.384035,0.98925,0.15814,1.00000,0.71429,0.67164,0.73171,0.00036,0.42708
0.050666,1.00000,0.15814,1.00000,0.60714,0.67164,0.56098,0.00835,0.90625
0.074707,0.83871,0.44186,0.94565,0.44643,0.83582,0.51220,0.01518,0.10417
0.086216,0.64516,0.04884,0.64130,0.83929,0.83582,0.70732,0.01824,0.07292
0.082380,0.88172,0.27907,0.95652,0.89286,0.83582,0.90244,0.00060,0.09375
0.090355,0.76344,0.13488,0.77174,0.60714,0.83582,0.43902,0.02067,0.00000
0.655404,0.91398,0.03488,0.92391,0.71429,0.67164,0.63415,0.01697,0.38542
0.126598,0.81720,0.31395,0.82609,0.89286,0.83582,0.90244,0.02521,0.06250
0.049428,0.92473,0.02791,0.97826,0.71429,1.00000,0.73171,0.00332,0.41667
0.180711,0.64516,0.08837,0.65217,0.71429,0.67164,0.80488,0.00263,0.09375
0.015386,0.47312,0.12558,0.46739,0.71429,0.67164,0.73171,0.00179,0.57292
0.011004,0.84946,0.39767,0.84783,0.71429,0.83582,0.73171,0.00227,0.90625
0.070556,0.21505,0.13721,0.21739,0.48214,0.67164,0.60976,0.00380,0.08333
0.094494,1.00000,0.13953,1.00000,0.71429,0.67164,0.73171,0.00530,0.02083
0.056390,0.84946,0.16512,0.94565,0.00000,0.67164,0.19512,0.01208,0.04167
0.036748,0.86022,0.06279,0.95652,0.71429,0.67164,0.63415,0.00801,0.89583
0.009742,0.76344,0.21163,0.76087,0.71429,0.83582,0.73171,0.00155,0.91667
0.085207,0.97849,0.21860,1.00000,0.71429,0.83582,0.63415,0.00131,0.36458
